input,output
21 Mart’ta kuzey yarım kürede hangi mevsim başlar?,İlkbahar
21 Mart’ta güney yarım kürede hangi mevsim başlar?,Sonbahar
21 Mart’ta gece ve gündüz süreleri nasıldır?,"Eşittir, 12 saat"
21 Mart’ta güneş ışınları nereye dik düşer?,Ekvatora
21 Mart’ta eksen eğikliği etkisi nasıldır?,Ortadan kalkar
21 Haziran’da kuzey yarım kürede hangi mevsim başlar?,Yaz
21 Haziran’da güney yarım kürede hangi mevsim başlar?,Kış
21 Haziran’da kuzey yarım kürede gün süresi nasıldır?,En uzun gündüz yaşanır
21 Haziran’da güneş ışınları nereye dik gelir?,Yengeç dönencesine
23 Eylül’de kuzey yarım kürede hangi mevsim başlar?,Sonbahar
23 Eylül’de güney yarım kürede hangi mevsim başlar?,İlkbahar
23 Eylül’de gece ve gündüz süreleri nasıldır?,"Eşittir, 12 saat"
23 Eylül’de güneş ışınları nereye dik düşer?,Ekvatora
Yaz mevsimi hangi nedenden dolayı yaşanır?,Daha fazla ışık (enerji) alınması nedeniyle
Kış mevsimi hangi nedenden dolayı yaşanır?,Daha az ışık (enerji) alınması nedeniyle
Birim yüzey arttıkça düşen enerji miktarı nasıl değişir?,Azalır
Kış mevsiminde birim yüzeye düşen enerji nasıldır?,Azalır
Yaz mevsiminde birim yüzeye düşen enerji nasıldır?,Artar
Alan ile düşen enerji miktarı arasındaki ilişki nasıldır?,Ters orantılıdır
Güneş ışınları neden ekvatorda daha fazla enerji verir?,Çünkü dik açıyla düşer
Güneş ışınları neden kutuplarda daha az enerji verir?,Çünkü eğik açıyla düşer
Kış mevsiminde güneş ışınlarının geliş açısı nasıldır?,Eğik
Kış mevsiminde gündüz süresi ve ışın açısı nasıldır?,"Gündüz süresi az, ışınlar eğik açıyla gelir"
Kuzey yarım kürede kış mevsiminde enerji miktarı nasıldır?,Birim alana düşen enerji azdır
Kışın kuzey kutbu neden ışık almaz?,Çünkü güneş ışınları oraya ulaşamaz
Dünya'nın dönme ekseninin eğik olmasının sonucu nedir?,Mevsimler meydana gelir
Dünya’nın eğik ekseni kuzey ve güney yarım küreyi nasıl etkiler?,Farklı mevsimler yaşanır
Dünya’nın eğik ekseni sıcaklığı nasıl etkiler?,Yıl boyunca sıcaklık değişimleri olur
Eksen eğikliği gece ve gündüzü nasıl etkiler?,Süreleri yıl boyunca değişir
Eksen eğikliği güneş ışınlarının geliş açısını nasıl etkiler?,Açıları yıl boyunca değişir
Eğer Dünya’nın ekseni eğik olmasaydı ne olurdu?,Mevsimler oluşmazdı
Dünya’nın ekseni eğik olmasaydı gece ve gündüz süresi ne olurdu?,"12 saat gece, 12 saat gündüz olurdu"
Dünya’nın ekseni eğik olmasaydı güneş ışınları nereye dik gelirdi?,Sadece ekvatora
Dünya’nın ekseni eğik olmasaydı yıllık sıcaklık farkı olur muydu?,Olmazdı
İklim nedir?,Yeryüzünün bir kısmında uzun yıllar boyunca gözlenen hava olaylarının ortalamasıdır.
Dünyanın farklı bölgelerinde hangi iklim çeşitleri gözlemlenir?,"Kutup, ekvatoral, karasal, çöl iklimi gibi iklim çeşitleri gözlemlenir."
Türkiye’de hangi iklim tipleri görülür?,"Akdeniz, Karadeniz ve karasal iklim."
İklimle ilgilenen bilim dalı nedir?,Klimatoloji
İklimle ilgilenen bilim insanına ne ad verilir?,Klimatolog
İklimi etkileyen faktörlerden biri nedir?,Ekvatora olan uzaklık
İklimi etkileyen faktörlerden biri nedir?,Bitki örtüsü
İklimi etkileyen faktörlerden biri nedir?,Yeryüzü şekilleri
İklimi etkileyen faktörlerden biri nedir?,Denize uzaklık
İklimi etkileyen faktörlerden biri nedir?,Denizden yükseklik
Hava olayları nedir?,Havadaki sıcaklık farkı ve nemden kaynaklanan doğa olaylarıdır.
Atmosferin bileşenleri nelerdir?,"%78 azot, %21 oksijen, %1 karbondioksit, su buharı ve diğer gazlar."
Hava olaylarını inceleyen bilim dalı nedir?,Meteoroloji
Hava olayları uzmanına ne ad verilir?,Meteorolog
Hava olaylarının temel sebebi nedir?,Havadaki nem ve sıcaklık farkı
Nem yağış oluşumunu nasıl etkiler?,Yağışın oluşmasını sağlar.
Sıcaklık farkı neyi oluşturur?,Rüzgarı
Rüzgar nedir?,Yatay yönde meydana gelen hava hareketidir.
Alçak basınç alanı nasıl oluşur?,Sıcak hava nedeniyle hava yoğunluğu azalır.
Alçak basınç alanında hava hareketi nasıldır?,Yükselici
Yüksek basınç alanı nasıl oluşur?,Soğuk hava nedeniyle hava yoğunluğu artar.
Yüksek basınç alanında hava hareketi nasıldır?,Alçalıcı
Rüzgar hangi yönde oluşur?,Yüksek basınçtan alçak basınca doğru
Bulut ve yağış genellikle nerede gerçekleşir?,Alçak basınç bölgelerinde
Dönen rüzgar nasıl oluşur?,Sıcak ve soğuk havanın yere yakın bölgede yer değiştirmesiyle
Dönerek ilerleyen rüzgara ne denir?,Hortum
Hortumun küçük haline ne denir?,Şeytan kulesi
Hortumun büyük haline ne denir?,Kasırga
Kasırganın hızı en az kaçtır?,118 km/saat
Havadaki su buharına ne ad verilir?,Nem
Yağmur nasıl oluşur?,"Su buharı yoğunlaşır, birleşir ve yeryüzüne iner."
Kar nasıl oluşur?,Soğuk hava etkisiyle su damlacıkları buz tanelerine dönüşür.
Dolu nasıl oluşur?,Yağmur damlaları fırtınayla donar ve buz kütlesine dönüşür.
Kırağı nasıl oluşur?,Havanın aniden soğumasıyla nem doğrudan katı hale geçer.
Çiy nasıl oluşur?,Havanın soğumasıyla nem yoğuşarak su damlacıklarına dönüşür.
Sis nasıl oluşur?,Yeryüzüne yakın su buharının yoğuşmasıyla oluşur.
Hava olayları yeryüzü şekillerinde neye sebep olabilir?,Değişikliklere
Hangi doğa şekli rüzgar ve su etkisiyle oluşur?,Peri bacaları
Hangi yeryüzü şekli rüzgarla oluşur?,Mantar kaya
İklim ve hava olayları arasındaki fark nedir?,"İklim geniş bölgede, hava olayları dar alanda görülür."
İklim ne sürede oluşur?,Uzun zamanda
Hava olayları ne sürede görülür?,Kısa zamanda
İklim kesin midir?,Evet
Hava olayları kesin midir?,"Hayır, tahminidir."
İklimde değişkenlik nasıldır?,Azdır
Hava olaylarında değişkenlik nasıldır?,Fazladır
İklimi inceleyen bilim dalı nedir?,Klimatoloji
Hava olaylarını inceleyen bilim dalı nedir?,Meteoroloji
